172.18.185.245 - - [19/Dec/2021:22:09:49 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36" "-"
172.18.185.245 - - [19/Dec/2021:22:47:13 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36" "-"
10.240.106.118 - - [19/Dec/2021:22:48:55 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:56 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:56 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:56 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:57 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:57 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:58 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:58 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:59 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:48:59 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:49:22 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:49:22 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:49:23 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
10.240.106.118 - - [19/Dec/2021:22:49:23 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "1.1.1.1"
